dataset,task,axis,representation,model,split_seed,nominal_dose,partition,audit_amplification,audit_event,evaluation_amplification,evaluation_event,audit_test_rows,evaluation_test_rows
CASE,valence,subject,all,gpu_mlp,20261007,0.5,audit,-0.0028571428571427,0,-0.0555555555555555,0,60,60
CASE,valence,subject,all,gpu_mlp,20261007,0.75,audit,-0.0028571428571427,0,-0.0111111111111111,0,60,60
CASE,valence,subject,all,gpu_mlp,20261007,1.0,audit,0.0514285714285714,1,-0.0222222222222223,0,60,60
CASE,valence,subject,all,linear_logistic,20260813,0.25,heldout,-0.0428571428571429,0,0.0444444444444445,1,60,60
CASE,valence,subject,all,linear_logistic,20260813,0.5,heldout,-0.0285714285714285,0,0.0333333333333333,1,60,60
CASE,valence,subject,all,linear_logistic,20260813,0.75,heldout,0.0371428571428571,1,-0.0222222222222221,0,60,60
CASE,valence,subject,all,linear_logistic,20260813,1.0,heldout,-0.0285714285714285,0,0.0777777777777777,1,60,60
CASE,valence,subject,all,linear_logistic,20260829,0.25,audit,-0.0142857142857143,0,-0.0444444444444444,0,60,60
CASE,valence,subject,all,linear_logistic,20260829,0.5,audit,0.0199999999999999,0,-0.0333333333333332,0,60,60
CASE,valence,subject,all,linear_logistic,20260829,0.75,audit,-0.0628571428571428,0,-0.0333333333333332,0,60,60
CASE,valence,subject,all,linear_logistic,20260829,1.0,audit,-0.0257142857142856,0,-0.0333333333333332,0,60,60
CASE,valence,subject,all,linear_logistic,20260911,0.25,heldout,0.0399999999999999,1,-0.011111111111111,0,60,60
CASE,valence,subject,all,linear_logistic,20260911,0.5,heldout,0.0057142857142855,0,0.0,0,60,60
CASE,valence,subject,all,linear_logistic,20260911,0.75,heldout,0.0171428571428571,0,-0.011111111111111,0,60,60
CASE,valence,subject,all,linear_logistic,20260911,1.0,heldout,-0.0171428571428572,0,0.0333333333333334,1,60,60
CASE,valence,subject,all,linear_logistic,20260923,0.25,audit,-0.0371428571428571,0,0.0333333333333332,1,60,60
CASE,valence,subject,all,linear_logistic,20260923,0.5,audit,-0.0314285714285713,0,0.0555555555555554,1,60,60
CASE,valence,subject,all,linear_logistic,20260923,0.75,audit,-0.0057142857142856,0,-0.0555555555555555,0,60,60
CASE,valence,subject,all,linear_logistic,20260923,1.0,audit,-0.0685714285714285,0,0.0888888888888888,1,60,60
CASE,valence,subject,all,linear_logistic,20261007,0.25,heldout,-0.0542857142857142,0,0.011111111111111,0,60,60
CASE,valence,subject,all,linear_logistic,20261007,0.5,heldout,-0.0142857142857143,0,0.0333333333333333,1,60,60
CASE,valence,subject,all,linear_logistic,20261007,0.75,heldout,-0.0085714285714285,0,0.0777777777777777,1,60,60
CASE,valence,subject,all,linear_logistic,20261007,1.0,heldout,0.0114285714285714,0,0.011111111111111,0,60,60
CASE,valence,subject,baseline_delta,gpu_mlp,20260813,0.25,audit,-0.0542857142857141,0,0.0555555555555555,1,60,60
CASE,valence,subject,baseline_delta,gpu_mlp,20260813,0.5,audit,0.0,0,-0.011111111111111,0,60,60
CASE,valence,subject,baseline_delta,gpu_mlp,20260813,0.75,audit,-0.0542857142857141,0,0.0555555555555555,1,60,60
CASE,valence,subject,baseline_delta,gpu_mlp,20260813,1.0,audit,-0.0485714285714286,0,0.0555555555555555,1,60,60
CASE,valence,subject,baseline_delta,gpu_mlp,20260829,0.25,heldout,0.0342857142857142,1,-0.0555555555555555,0,60,60
CASE,valence,subject,baseline_delta,gpu_mlp,20260829,0.5,heldout,0.0942857142857143,1,-0.0666666666666666,0,60,60
CASE,valence,subject,baseline_delta,gpu_mlp,20260829,0.75,heldout,0.0114285714285713,0,0.0,0,60,60
CASE,valence,subject,baseline_delta,gpu_mlp,20260829,1.0,heldout,0.0257142857142856,1,-0.0333333333333334,0,60,60
CASE,valence,subject,baseline_delta,gpu_mlp,20260911,0.25,audit,0.0114285714285713,0,0.0666666666666666,1,60,60
CASE,valence,subject,baseline_delta,gpu_mlp,20260911,0.5,audit,-0.0485714285714286,0,0.0444444444444442,1,60,60
