dataset,task,representation,n_features,model,split_seed,exposure_effect,axis,metadata_prior_opportunity,label_opportunity,conditional_label_entropy,identity_rate_std,identity_probe_balanced_accuracy,identity_probe_chance,encoding_margin,n_rows,n_subjects,n_repeated_units,repeated_measure_completeness,positive_fraction,class_balance,source,nominal_dose,achieved_dose,unseen_balanced_accuracy,dose_balanced_accuracy,opportunity_min,opportunity_max,opportunity_encoding_interaction,model_capacity,log_n_rows
DEAP,arousal,all,72,linear_logistic,20260829,0.0101461407348387,stimulus,0.1416068563228686,0.0819289808538582,,,0.047265625,0.025,0.022265624999999997,1280,32,40,1.0,0.5890625,0.8218749999999999,counterfactual_dose,0.5,0.5007525745547744,0.4917726497967746,0.5019187905316134,0.0203016194731202,0.1433640780443945,0.0018241999643241863,1.0,7.154615356913663
DEAP,arousal,all,72,linear_logistic,20260829,0.013373541366199,stimulus,0.1316342021073405,0.1120616311976752,,,0.047265625,0.025,0.022265624999999997,1280,32,40,1.0,0.5890625,0.8218749999999999,counterfactual_dose,0.75,0.746233801063261,0.4917726497967746,0.5051461911629737,0.0203016194731202,0.1433640780443945,0.0024951222571357365,1.0,7.154615356913663
DEAP,arousal,all,72,linear_logistic,20260829,0.0177507034724814,stimulus,0.1354504320856821,0.1433640780443945,,,0.047265625,0.025,0.022265624999999997,1280,32,40,1.0,0.5890625,0.8218749999999999,counterfactual_dose,1.0,1.0,0.4917726497967746,0.509523353269256,0.0203016194731202,0.1433640780443945,0.0031920908002072207,1.0,7.154615356913663
DEAP,arousal,all,72,linear_logistic,20260911,-0.0146455910681687,stimulus,0.1347691904267228,0.05221623661870464,0.8627177804053768,0.17797634501234127,0.047265625,0.025,0.022265624999999997,1280,32,40,1.0,0.5890625,0.8218749999999999,observational_factorial,,,,,,,0.0011626271434633454,1.0,7.154615356913663
DEAP,arousal,all,72,linear_logistic,20260911,0.010743714132989,stimulus,0.0739834577001834,0.0219533985536672,,,0.047265625,0.025,0.022265624999999997,1280,32,40,1.0,0.5890625,0.8218749999999999,counterfactual_dose,0.0,0.0,0.5040645076701193,0.5148082218031084,0.0219533985536672,0.1420896655398121,0.0004888061396714962,1.0,7.154615356913663
DEAP,arousal,all,72,linear_logistic,20260911,-0.0055697874958396,stimulus,0.1198063331095963,0.0519547832684417,,,0.047265625,0.025,0.022265624999999997,1280,32,40,1.0,0.5890625,0.8218749999999999,counterfactual_dose,0.25,0.2497425658308612,0.5040645076701193,0.4984947201742796,0.0219533985536672,0.1420896655398121,0.001156805721211397,1.0,7.154615356913663
DEAP,arousal,all,72,linear_logistic,20260911,0.0043998547669715,stimulus,0.1085002592972606,0.0820368644540381,,,0.047265625,0.025,0.022265624999999997,1280,32,40,1.0,0.5890625,0.8218749999999999,counterfactual_dose,0.5,0.5002145010629822,0.5040645076701193,0.5084643624370909,0.0219533985536672,0.1420896655398121,0.0018266020601094418,1.0,7.154615356913663
DEAP,arousal,all,72,linear_logistic,20260911,0.0017246422123831,stimulus,0.1405207692880818,0.1112041701103909,,,0.047265625,0.025,0.022265624999999997,1280,32,40,1.0,0.5890625,0.8218749999999999,counterfactual_dose,0.75,0.7447903252349722,0.5040645076701193,0.5057891498825025,0.0219533985536672,0.1420896655398121,0.002476030350114172,1.0,7.154615356913663
DEAP,arousal,all,72,linear_logistic,20260911,-0.0075591774162641,stimulus,0.134236263204894,0.1420896655398121,,,0.047265625,0.025,0.022265624999999997,1280,32,40,1.0,0.5890625,0.8218749999999999,counterfactual_dose,1.0,1.0,0.5040645076701193,0.4965053302538552,0.0219533985536672,0.1420896655398121,0.003163715209284878,1.0,7.154615356913663
DEAP,arousal,all,72,linear_logistic,20260923,0.0046204778570059,stimulus,0.1414004901614709,0.05333766586397653,0.8611313093854998,0.18030213782006244,0.043359375000000006,0.025,0.018359375,1280,32,40,1.0,0.5890625,0.8218749999999999,observational_factorial,,,,,,,0.000979246209221444,1.0,7.154615356913663
DEAP,arousal,all,72,linear_logistic,20260923,0.0146115520771349,stimulus,0.0912797146290695,0.0237544686605571,,,0.043359375000000006,0.025,0.018359375,1280,32,40,1.0,0.5890625,0.8218749999999999,counterfactual_dose,0.0,0.0,0.4797278897842684,0.4943394418614033,0.0237544686605571,0.1398524382972415,0.0004361171980649155,1.0,7.154615356913663
DEAP,arousal,all,72,linear_logistic,20260923,0.0081567508144144,stimulus,0.1142395397647919,0.0527464909176833,,,0.043359375000000006,0.025,0.018359375,1280,32,40,1.0,0.5890625,0.8218749999999999,counterfactual_dose,0.25,0.2497422941067696,0.4797278897842684,0.4878846405986828,0.0237544686605571,0.1398524382972415,0.0009683926066918418,1.0,7.154615356913663
DEAP,arousal,all,72,linear_logistic,20260923,0.0065657431594235,stimulus,0.1160809461224999,0.0817956677915635,,,0.043359375000000006,0.025,0.018359375,1280,32,40,1.0,0.5890625,0.8218749999999999,counterfactual_dose,0.5,0.4997955325763207,0.4797278897842684,0.4862936329436919,0.0237544686605571,0.1398524382972415,0.0015017173383607362,1.0,7.154615356913663
DEAP,arousal,all,72,linear_logistic,20260923,0.0078920031063731,stimulus,0.1243812212039581,0.1107183696392992,,,0.043359375000000006,0.025,0.018359375,1280,32,40,1.0,0.5890625,0.8218749999999999,counterfactual_dose,0.75,0.7491268699855873,0.4797278897842684,0.4876198928906415,0.0237544686605571,0.1398524382972415,0.0020327200675965087,1.0,7.154615356913663
DEAP,arousal,all,72,linear_logistic,20260923,0.0110084618410303,stimulus,0.1352343835383949,0.1398524382972415,,,0.043359375000000006,0.025,0.018359375,1280,32,40,1.0,0.5890625,0.8218749999999999,counterfactual_dose,1.0,1.0,0.4797278897842684,0.4907363516252988,0.0237544686605571,0.1398524382972415,0.0025676033593634183,1.0,7.154615356913663
DEAP,arousal,all,72,linear_logistic,20261007,-0.0114068441064638,stimulus,0.1420636201349456,0.05091622858642223,0.8615195665880228,0.17699883121603602,0.043359375000000006,0.025,0.018359375,1280,32,40,1.0,0.5890625,0.8218749999999999,observational_factorial,,,,,,,0.0009347901342038456,1.0,7.154615356913663
DEAP,arousal,all,72,linear_logistic,20261007,0.0126877187320348,stimulus,0.0883326844397262,0.0204250547660158,,,0.043359375000000006,0.025,0.018359375,1280,32,40,1.0,0.5890625,0.8218749999999999,counterfactual_dose,0.0,0.0,0.5005950519914071,0.513282770723442,0.0204250547660158,0.1414603408294579,0.00037499123984482133,1.0,7.154615356913663
DEAP,arousal,all,72,linear_logistic,20261007,0.001502758418977,stimulus,0.1097039372696054,0.0506598219271452,,,0.043359375000000006,0.025,0.018359375,1280,32,40,1.0,0.5890625,0.8218749999999999,counterfactual_dose,0.25,0.2497904404419383,0.5005950519914071,0.5020978104103841,0.0204250547660158,0.1414603408294579,0.0009300826681936814,1.0,7.154615356913663
