dataset,task,representation,n_features,model,split_seed,exposure_effect,axis,metadata_prior_opportunity,label_opportunity,conditional_label_entropy,identity_rate_std,identity_probe_balanced_accuracy,identity_probe_chance,encoding_margin,n_rows,n_subjects,n_repeated_units,repeated_measure_completeness,positive_fraction,class_balance,source,nominal_dose,achieved_dose,unseen_balanced_accuracy,dose_balanced_accuracy,opportunity_min,opportunity_max,opportunity_encoding_interaction,model_capacity,log_n_rows,dose_zero_exposure_effect,dose_zero_label_opportunity,dose_zero_metadata_prior_opportunity,dose_induced_amplification,opportunity_delta,metadata_prior_delta,dose_encoding_interaction,material_optimism_event,risk_row_id
DEAP,arousal,all,72,linear_logistic,20260813,0.0400979314379078,subject,0.0644246145346276,0.0379342309283137,,,0.92109375,0.03125,0.88984375,1280,32,40,1.0,0.5890625,0.8218749999999999,counterfactual_dose,0.25,0.2498568920110395,0.5012380107109359,0.5413359421488437,0.0131108129825088,0.1124653171134664,0.03375553830261665,1.0,7.154615356913663,0.032803501729685,0.0131108129825088,0.0492670681429953,0.007294429708222798,0.024823417945804904,0.015157546391632297,0.022088963312712335,0,20
DEAP,arousal,all,72,linear_logistic,20260813,0.0588420691672296,subject,0.061002066430879,0.0628947724372778,,,0.92109375,0.03125,0.88984375,1280,32,40,1.0,0.5890625,0.8218749999999999,counterfactual_dose,0.5,0.5009287084465756,0.5012380107109359,0.5600800798781655,0.0131108129825088,0.1124653171134664,0.05596652016098392,1.0,7.154615356913663,0.032803501729685,0.0131108129825088,0.0492670681429953,0.026038567437544603,0.049783959454769,0.0117349982878837,0.04429994517107961,1,21
DEAP,arousal,all,72,linear_logistic,20260813,0.0530957831993625,subject,0.0549701731025371,0.0874128828270123,,,0.92109375,0.03125,0.88984375,1280,32,40,1.0,0.5890625,0.8218749999999999,counterfactual_dose,0.75,0.7477285219009511,0.5012380107109359,0.5543337939102985,0.0131108129825088,0.1124653171134664,0.07778380745309924,1.0,7.154615356913663,0.032803501729685,0.0131108129825088,0.0492670681429953,0.0202922814696775,0.07430206984450351,0.005703104959541801,0.06611723246319492,1,22
DEAP,arousal,all,72,linear_logistic,20260813,0.048917812225797,subject,0.0616600251321203,0.1124653171134664,,,0.92109375,0.03125,0.88984375,1280,32,40,1.0,0.5890625,0.8218749999999999,counterfactual_dose,1.0,1.0,0.5012380107109359,0.5501558229367329,0.0131108129825088,0.1124653171134664,0.10007655952518613,1.0,7.154615356913663,0.032803501729685,0.0131108129825088,0.0492670681429953,0.016114310496112,0.0993545041309576,0.012392956989125,0.0884099845352818,0,23
DEAP,arousal,all,72,linear_logistic,20260829,0.0440363687708645,subject,0.0786728965680969,0.0384570592666282,,,0.915625,0.03125,0.884375,1280,32,40,1.0,0.5890625,0.8218749999999999,counterfactual_dose,0.25,0.2501128705175056,0.4917726497967746,0.5358090185676392,0.0119520183875184,0.1179549771742002,0.034010461788924314,1.0,7.154615356913663,0.0302644451392321,0.0119520183875184,0.0303276833207938,0.013771923631632398,0.0265050408791098,0.04834521324730309,0.02344039552746273,0,24
DEAP,arousal,all,72,linear_logistic,20260829,0.0356804268237335,subject,0.0893516539506682,0.0649933973276896,,,0.915625,0.03125,0.884375,1280,32,40,1.0,0.5890625,0.8218749999999999,counterfactual_dose,0.5,0.500236492842161,0.4917726497967746,0.5274530766205081,0.0119520183875184,0.1179549771742002,0.0574785357616755,1.0,7.154615356913663,0.0302644451392321,0.0119520183875184,0.0303276833207938,0.0054159816845014,0.053041378940171205,0.0590239706298744,0.04690846950021391,0,25
DEAP,arousal,all,72,linear_logistic,20260829,0.052657058426037,subject,0.0901085052444977,0.0912862631792768,,,0.915625,0.03125,0.884375,1280,32,40,1.0,0.5890625,0.8218749999999999,counterfactual_dose,0.75,0.7482968123229785,0.4917726497967746,0.5444297082228117,0.0119520183875184,0.1179549771742002,0.08073128899917292,1.0,7.154615356913663,0.0302644451392321,0.0119520183875184,0.0303276833207938,0.022392613286804898,0.0793342447917584,0.0597808219237039,0.07016122273771133,1,26
DEAP,arousal,all,72,linear_logistic,20260829,0.0485900293491744,subject,0.1067700870296718,0.1179549771742002,,,0.915625,0.03125,0.884375,1280,32,40,1.0,0.5890625,0.8218749999999999,counterfactual_dose,1.0,1.0,0.4917726497967746,0.540362679145949,0.0119520183875184,0.1179549771742002,0.1043164329384333,1.0,7.154615356913663,0.0302644451392321,0.0119520183875184,0.0303276833207938,0.0183255842099423,0.1060029587866818,0.076442403708878,0.09374636667697171,0,27
DEAP,arousal,all,72,linear_logistic,20260911,0.0446768060836502,subject,0.0516318965810277,0.038854474709368,,,0.911328125,0.03125,0.880078125,1280,32,40,1.0,0.5890625,0.8218749999999999,counterfactual_dose,0.25,0.2502142582383338,0.5040645076701193,0.5487413137537696,0.0126240897781276,0.1174446589850672,0.034194973250080515,1.0,7.154615356913663,0.0370949360066967,0.0126240897781276,0.0548379274568029,0.007581870076953497,0.0262303849312404,-0.003206030875775201,0.023084787988314304,0,28
DEAP,arousal,all,72,linear_logistic,20260911,0.0458265675585722,subject,0.0818109747026205,0.0650583639526406,,,0.911328125,0.03125,0.880078125,1280,32,40,1.0,0.5890625,0.8218749999999999,counterfactual_dose,0.5,0.5001754796308471,0.5040645076701193,0.5498910752286916,0.0126240897781276,0.1174446589850672,0.05725644296300753,1.0,7.154615356913663,0.0370949360066967,0.0126240897781276,0.0548379274568029,0.0087316315518755,0.052434274174513,0.026973047245817595,0.046146257701241325,0,29
DEAP,arousal,all,72,linear_logistic,20260911,0.0570115278716301,subject,0.0894910512446965,0.091104319889083,,,0.911328125,0.03125,0.880078125,1280,32,40,1.0,0.5890625,0.8218749999999999,counterfactual_dose,0.75,0.7498711083123482,0.5040645076701193,0.5610760355417495,0.0126240897781276,0.1174446589850672,0.08017891902738439,1.0,7.154615356913663,0.0370949360066967,0.0126240897781276,0.0548379274568029,0.0199165918649334,0.07848023011095541,0.0346531237878936,0.06906873376561819,0,30
DEAP,arousal,all,72,linear_logistic,20260911,0.0395482647678793,subject,0.0889609573105153,0.1174446589850672,,,0.911328125,0.03125,0.880078125,1280,32,40,1.0,0.5890625,0.8218749999999999,counterfactual_dose,1.0,1.0,0.5040645076701193,0.5436127724379987,0.0126240897781276,0.1174446589850672,0.10336047527084236,1.0,7.154615356913663,0.0370949360066967,0.0126240897781276,0.0548379274568029,0.0024533287611826007,0.1048205692069396,0.0341230298537124,0.09225029000907616,0,31
DEAP,arousal,all,72,linear_logistic,20260923,0.0478134360722534,subject,0.052702406108427,0.0366050602487406,,,0.91328125,0.03125,0.88203125,1280,32,40,1.0,0.5890625,0.8218749999999999,counterfactual_dose,0.25,0.2503427494251778,0.4797278897842684,0.5275413258565218,0.0115940881270749,0.1114964861241677,0.03228680704752198,1.0,7.154615356913663,0.0411594436768162,0.0115940881270749,0.0544230136822242,0.006653992395437201,0.025010972121665698,-0.0017206075737972032,0.02206045900418795,0,32
DEAP,arousal,all,72,linear_logistic,20260923,0.0415578259422497,subject,0.0586895313033368,0.0615519706342296,,,0.91328125,0.03125,0.88203125,1280,32,40,1.0,0.5890625,0.8218749999999999,counterfactual_dose,0.5,0.4999943147562614,0.4797278897842684,0.5212857157265182,0.0115940881270749,0.1114964861241677,0.05429076159847283,1.0,7.154615356913663,0.0411594436768162,0.0115940881270749,0.0544230136822242,0.00039838226543350425,0.049957882507154695,0.004266517621112603,0.04406441355513879,0,33
