population,task,split_seed,fold,nominal_dose,achieved_dose,normalized_mutual_information,metadata_prior_opportunity,candidate_min,candidate_max,candidate_size,intervention_block_size,removed_control_size,n_train,n_test,subject_coverage,row_overlap_with_test
evaluation_population,valence,20260829,s0_r1,0.75,0.6854041512237239,0.5119239491597914,0.0714285714285714,0.004732118781357297,0.7447215534424859,21,10,10,168,21,1.0,0
evaluation_population,valence,20260829,s0_r1,1.0,1.0,0.7447215534424859,0.0714285714285714,0.004732118781357297,0.7447215534424859,21,10,10,168,21,1.0,0
evaluation_population,valence,20260829,s1_r0,0.0,0.0,0.03500209820680635,0.0,0.03500209820680635,0.6540971147061199,21,10,10,168,21,1.0,0
evaluation_population,valence,20260829,s1_r0,0.25,0.22768721630869945,0.1759621191441234,0.1166666666666667,0.03500209820680635,0.6540971147061199,21,10,10,168,21,1.0,0
evaluation_population,valence,20260829,s1_r0,0.5,0.5033101201971893,0.34659888537455674,0.1166666666666667,0.03500209820680635,0.6540971147061199,21,10,10,168,21,1.0,0
evaluation_population,valence,20260829,s1_r0,0.75,0.5968238338493609,0.40449275947096,0.1166666666666667,0.03500209820680635,0.6540971147061199,21,10,10,168,21,1.0,0
evaluation_population,valence,20260829,s1_r0,1.0,1.0,0.6540971147061199,0.1166666666666667,0.03500209820680635,0.6540971147061199,21,10,10,168,21,1.0,0
evaluation_population,valence,20260829,s1_r1,0.0,0.0,0.004732118781357297,0.0,0.004732118781357297,0.7187635487777683,21,10,10,168,21,1.0,0
evaluation_population,valence,20260829,s1_r1,0.25,0.23798310276057802,0.17465953396047565,0.08750000000000002,0.004732118781357297,0.7187635487777683,21,10,10,168,21,1.0,0
evaluation_population,valence,20260829,s1_r1,0.5,0.48782062935866577,0.35305138034407463,0.08750000000000002,0.004732118781357297,0.7187635487777683,21,10,10,168,21,1.0,0
evaluation_population,valence,20260829,s1_r1,0.75,0.7103214355437877,0.5119239491597914,0.08750000000000002,0.004732118781357297,0.7187635487777683,21,10,10,168,21,1.0,0
evaluation_population,valence,20260829,s1_r1,1.0,1.0,0.7187635487777683,0.08750000000000002,0.004732118781357297,0.7187635487777683,21,10,10,168,21,1.0,0
evaluation_population,valence,20260829,s2_r0,0.0,0.0,0.008130957294339092,0.0,0.008130957294339092,0.778979417334536,21,10,10,168,21,1.0,0
evaluation_population,valence,20260829,s2_r0,0.25,0.2230879634123706,0.18009797034426878,0.0,0.008130957294339092,0.778979417334536,21,10,10,168,21,1.0,0
evaluation_population,valence,20260829,s2_r0,0.5,0.5022241199367941,0.39526964674265996,0.0,0.008130957294339092,0.778979417334536,21,10,10,168,21,1.0,0
evaluation_population,valence,20260829,s2_r0,0.75,0.6492789696411018,0.5086266511786681,0.0,0.008130957294339092,0.778979417334536,21,10,10,168,21,1.0,0
evaluation_population,valence,20260829,s2_r0,1.0,1.0,0.778979417334536,0.0,0.008130957294339092,0.778979417334536,21,10,10,168,21,1.0,0
evaluation_population,valence,20260829,s2_r1,0.0,0.0,0.008130957294339092,0.0,0.008130957294339092,0.5086266511786681,21,10,10,168,21,1.0,0
evaluation_population,valence,20260829,s2_r1,0.25,0.25778482859230123,0.13715115395349572,0.0,0.008130957294339092,0.5086266511786681,21,10,10,168,21,1.0,0
evaluation_population,valence,20260829,s2_r1,0.5,0.499798966017431,0.2582781875939034,0.0,0.008130957294339092,0.5086266511786681,21,10,10,168,21,1.0,0
evaluation_population,valence,20260829,s2_r1,0.75,0.7735105300182534,0.39526964674265996,0.0,0.008130957294339092,0.5086266511786681,21,10,10,168,21,1.0,0
evaluation_population,valence,20260829,s2_r1,1.0,1.0,0.5086266511786681,-0.09722222222222221,0.008130957294339092,0.5086266511786681,21,10,10,168,21,1.0,0
evaluation_population,valence,20260829,s3_r0,0.0,0.0,0.008130957294339092,0.0,0.008130957294339092,0.6277010815309156,21,10,10,168,21,1.0,0
evaluation_population,valence,20260829,s3_r0,0.25,0.26282450619298403,0.1709691692487431,-0.2545454545454545,0.008130957294339092,0.6277010815309156,21,10,10,168,21,1.0,0
