task,representation,model,split_seed,identity_mean,identity_sd,action_mean,action_sd,displacement_mean,displacement_sd,decision_flip_fraction,z_identity_mean,z_identity_sd,z_action_mean,z_action_sd,z_displacement_mean,z_displacement_sd,z_decision_flip_fraction
valence,normalized_asymmetry,linear_logistic,20260829,0.26941999638941655,0.1468079268670734,0.26941999638941655,0.1468079268670734,0.0,0.0,0.0,-0.9648804324003061,-1.009084308644092,-0.9648804324003061,-1.009084308644092,0.0,0.0,0.0
valence,normalized_asymmetry,linear_logistic,20260911,0.17153005242533934,0.08316601723144297,0.17153005242533934,0.08316601723144297,0.0,0.0,0.0,-1.4867252143435676,-1.8932951623159953,-1.4867252143435676,-1.8932951623159953,0.0,0.0,0.0
valence,normalized_asymmetry,linear_logistic,20260923,0.2375178962551054,0.15158458528341598,0.2375178962551054,0.15158458528341598,0.0,0.0,0.0,-1.1349484068413889,-0.9427196561659589,-1.1349484068413889,-0.9427196561659589,0.0,0.0,0.0
valence,normalized_asymmetry,linear_logistic,20261007,0.19256608856052054,0.09497292154700084,0.19256608856052054,0.09497292154700084,0.0,0.0,0.0,-1.374583504527668,-1.7292555694776761,-1.374583504527668,-1.7292555694776761,0.0,0.0,0.0
valence,relative_power,gpu_mlp,20260813,0.1605640367552323,0.10004553493674836,0.1605640367552323,0.10004553493674836,0.0,0.0,0.0,-1.5451843146803028,-1.6587790573589216,-1.5451843146803028,-1.6587790573589216,0.0,0.0,0.0
valence,relative_power,gpu_mlp,20260829,0.380146932486217,0.1836327386247941,0.380146932486217,0.1836327386247941,0.0,0.0,0.0,-0.3746024990113086,-0.4974576395667095,-0.3746024990113086,-0.4974576395667095,0.0,0.0,0.0
valence,relative_power,gpu_mlp,20260911,0.24125758638625136,0.10732618481308631,0.24125758638625136,0.10732618481308631,0.0,0.0,0.0,-1.1150123674281944,-1.5576251215436636,-1.1150123674281944,-1.5576251215436636,0.0,0.0,0.0
valence,relative_power,gpu_mlp,20260923,0.3059168171106453,0.1725897766567232,0.3059168171106453,0.1725897766567232,0.0,0.0,0.0,-0.770318308042761,-0.6508833756069697,-0.770318308042761,-0.6508833756069697,0.0,0.0,0.0
valence,relative_power,gpu_mlp,20261007,0.2502654795297104,0.11136148645884178,0.2502654795297104,0.11136148645884178,0.0,0.0,0.0,-1.0669918880729135,-1.5015605324474954,-1.0669918880729135,-1.5015605324474954,0.0,0.0,0.0
valence,relative_power,linear_logistic,20260813,0.11021294817184837,0.0735937875007618,0.11021294817184837,0.0735937875007618,0.0,0.0,0.0,-1.813602619752008,-2.0262872342096174,-1.813602619752008,-2.0262872342096174,0.0,0.0,0.0
valence,relative_power,linear_logistic,20260829,0.2907930335832646,0.15893514613822027,0.2907930335832646,0.15893514613822027,0.0,0.0,0.0,-0.8509421923500123,-0.8405944099939772,-0.8509421923500123,-0.8405944099939772,0.0,0.0,0.0
valence,relative_power,linear_logistic,20260911,0.17014578387199042,0.08232795268727584,0.17014578387199042,0.08232795268727584,0.0,0.0,0.0,-1.49410465795259,-1.904938838162191,-1.49410465795259,-1.904938838162191,0.0,0.0,0.0
valence,relative_power,linear_logistic,20260923,0.2273777296684582,0.14494721660806367,0.2273777296684582,0.14494721660806367,0.0,0.0,0.0,-1.1890049606301938,-1.0349361445801075,-1.1890049606301938,-1.0349361445801075,0.0,0.0,0.0
valence,relative_power,linear_logistic,20261007,0.17731487394679443,0.08594058878467163,0.17731487394679443,0.08594058878467163,0.0,0.0,0.0,-1.455886715482518,-1.8547465660262226,-1.455886715482518,-1.8547465660262226,0.0,0.0,0.0
