task,representation,n_features,model,split_seed,nominal_dose,unseen_balanced_accuracy,dose_balanced_accuracy,subject_exposure_effect,achieved_dose,normalized_mutual_information,metadata_prior_opportunity,encoding_margin,dataset,population,axis,dose_zero_exposure_effect,dose_zero_label_opportunity,dose_zero_metadata_prior_opportunity,dose_induced_amplification,opportunity_delta,metadata_prior_delta,dose_encoding_interaction,model_capacity,material_optimism_event,probability_identity
arousal,all,72,linear_logistic,20260813,1.0,0.4261790840738209,0.46924128503075874,0.04306220095693786,1.0,0.7044244726310994,0.11571275946275947,0.4952380952380952,EPPVR,audit_population,subject,0.048530416951469646,0.03832048053574832,0.06730769230769232,-0.005468215994531789,0.6661039920953511,0.04840506715506715,0.3298800722757929,1.0,0,0.9685503681230411
arousal,all,72,linear_logistic,20260829,0.25,0.4887218045112782,0.4815447710184552,-0.007177033492823004,0.24568983923001922,0.19730505464104242,0.019973221223221215,0.5095238095238095,EPPVR,audit_population,subject,0.028024606971975397,0.02710409737226659,0.00972222222222222,-0.0352016404647984,0.17020095726877582,0.010250999000998995,0.08672144013218577,1.0,0,0.15888867288726294
arousal,all,72,linear_logistic,20260829,0.5,0.4887218045112782,0.5010252904989747,0.012303485987696483,0.4968301794493207,0.37154243494889283,0.07135142635142634,0.5095238095238095,EPPVR,audit_population,subject,0.028024606971975397,0.02710409737226659,0.00972222222222222,-0.015721120984278913,0.34443833757662623,0.06162920412920412,0.1754995339080905,1.0,0,0.6053424326761746
arousal,all,72,linear_logistic,20260829,0.75,0.4887218045112782,0.5205058099794941,0.031784005468215915,0.7037504280413203,0.5184019589722606,0.15122779997779995,0.5095238095238095,EPPVR,audit_population,subject,0.028024606971975397,0.02710409737226659,0.00972222222222222,0.003759398496240518,0.491297861599994,0.14150557775557773,0.25032795805333025,1.0,0,0.940304103469142
arousal,all,72,linear_logistic,20260829,1.0,0.4887218045112782,0.49726589200273413,0.00854408749145591,1.0,0.7208149199262481,0.070008325008325,0.5095238095238095,EPPVR,audit_population,subject,0.028024606971975397,0.02710409737226659,0.00972222222222222,-0.019480519480519487,0.6937108225539815,0.06028610278610278,0.35346218101560006,1.0,0,0.9533393074216178
arousal,all,72,linear_logistic,20260911,0.25,0.48632946001367056,0.5088858509911142,0.022556390977443608,0.24694652520578472,0.2002118780001542,0.055018939393939405,0.5166666666666666,EPPVR,audit_population,subject,0.00854408749145591,0.045325065194091685,0.015909090909090918,0.014012303485987698,0.1548868128060625,0.03910984848484848,0.08002485328313229,1.0,0,0.22759961188977343
arousal,all,72,linear_logistic,20260911,0.5,0.48632946001367056,0.47231715652768286,-0.014012303485987698,0.49207136214971736,0.35491352361124906,0.15294823232323235,0.5166666666666666,EPPVR,audit_population,subject,0.00854408749145591,0.045325065194091685,0.015909090909090918,-0.022556390977443608,0.3095884584171574,0.13703914141414142,0.15995403684886464,1.0,0,0.8102961686126424
arousal,all,72,linear_logistic,20260911,0.75,0.48632946001367056,0.47881066302118935,-0.007518796992481203,0.7394175875316934,0.50674992327808,0.07397727272727272,0.5166666666666666,EPPVR,audit_population,subject,0.00854408749145591,0.045325065194091685,0.015909090909090918,-0.016062884483937112,0.4614248580839883,0.05806818181818181,0.23840284334339393,1.0,0,0.798404633859371
arousal,all,72,linear_logistic,20260911,1.0,0.48632946001367056,0.5133287764866712,0.026999316473000634,1.0,0.673858332101686,0.1510037878787879,0.5166666666666666,EPPVR,audit_population,subject,0.00854408749145591,0.045325065194091685,0.015909090909090918,0.018455228981544725,0.6285332669075943,0.13509469696969698,0.324742187902257,1.0,0,0.9785679591187911
arousal,all,72,linear_logistic,20260923,0.25,0.44360902255639095,0.4606971975393028,0.017088174982911875,0.24530545888058208,0.1923875542904973,0.06550976800976802,0.4571428571428572,EPPVR,audit_population,subject,0.03280929596719068,0.028281514383108507,0.00972222222222222,-0.015721120984278802,0.1641060399073888,0.05578754578754579,0.07501990395766346,1.0,0,0.24052505566686924
arousal,all,72,linear_logistic,20260923,0.5,0.44360902255639095,0.4979494190020506,0.05434039644565963,0.4968249488168865,0.36014722226636187,0.06036719816131584,0.4571428571428572,EPPVR,audit_population,subject,0.03280929596719068,0.028281514383108507,0.00972222222222222,0.021531100478468956,0.33186570788325337,0.05064497593909362,0.15171003788948728,1.0,1,0.490819006513401
arousal,all,72,linear_logistic,20260923,0.75,0.44360902255639095,0.4849624060150376,0.04135338345864664,0.7162588300027207,0.5054923810586868,0.14193582561229617,0.4571428571428572,EPPVR,audit_population,subject,0.03280929596719068,0.028281514383108507,0.00972222222222222,0.008544087491455965,0.47721086667557827,0.13221360339007396,0.21815353905169294,1.0,0,0.9050085438798683
arousal,all,72,linear_logistic,20260923,1.0,0.44360902255639095,0.4894053315105946,0.04579630895420367,1.0,0.6964755853111579,0.12744406737053798,0.4571428571428572,EPPVR,audit_population,subject,0.03280929596719068,0.028281514383108507,0.00972222222222222,0.012987012987012991,0.6681940709280494,0.11772184514831577,0.30546014670996546,1.0,0,0.9673314505027779
arousal,all,72,linear_logistic,20261007,0.25,0.49965823650034175,0.5164046479835953,0.016746411483253565,0.2221230571983165,0.18343288220388249,0.028479236812570155,0.45000000000000007,EPPVR,audit_population,subject,0.023923444976076513,0.03673741436081172,-0.0010198135198135122,-0.0071770334928229484,0.14669546784307078,0.029499050332383668,0.06601296052938185,1.0,0,0.13437782379209068
arousal,all,72,linear_logistic,20261007,0.5,0.49965823650034175,0.501367053998633,0.0017088174982912707,0.457641156368368,0.3399347258332666,-0.02244345161011828,0.45000000000000007,EPPVR,audit_population,subject,0.023923444976076513,0.03673741436081172,-0.0010198135198135122,-0.022214627477785243,0.3031973114724549,-0.021423638090304765,0.1364387901626047,1.0,0,0.1760307035489623
arousal,all,72,linear_logistic,20261007,0.75,0.49965823650034175,0.5218728639781272,0.02221462747778541,0.6601373945010655,0.4754712082049724,-0.008498445998445977,0.45000000000000007,EPPVR,audit_population,subject,0.023923444976076513,0.03673741436081172,-0.0010198135198135122,-0.0017088174982911042,0.43873379384416067,-0.007478632478632465,0.19743020722987234,1.0,0,0.40809678337911387
arousal,all,72,linear_logistic,20261007,1.0,0.49965823650034175,0.47607655502392343,-0.023581681476418315,0.9,0.6331187898085061,0.028479236812570155,0.45000000000000007,EPPVR,audit_population,subject,0.023923444976076513,0.03673741436081172,-0.0010198135198135122,-0.04750512645249483,0.5963813754476944,0.029499050332383668,0.26837161895146255,1.0,0,0.7876851981179954
arousal,baseline_delta,72,gpu_mlp,20260813,0.25,0.474025974025974,0.45078605604921396,-0.02323991797676006,0.24297536880791265,0.19971834196406696,0.0536401098901099,0.5095238095238095,EPPVR,audit_population,subject,-0.015721120984278858,0.03832048053574832,0.06730769230769232,-0.007518796992481203,0.16139786142831863,-0.013667582417582418,0.08223605320395282,4.0,0,0.32112452715448175
arousal,baseline_delta,72,gpu_mlp,20260813,0.5,0.474025974025974,0.4825700615174299,0.00854408749145591,0.4972113779556527,0.37003834833545224,0.08392857142857144,0.5095238095238095,EPPVR,audit_population,subject,-0.015721120984278858,0.03832048053574832,0.06730769230769232,0.024265208475734767,0.3317178677997039,0.016620879120879117,0.16901815168842055,4.0,1,0.7293250551505991
arousal,baseline_delta,72,gpu_mlp,20260813,0.75,0.474025974025974,0.45864661654135336,-0.01537935748462066,0.734684368907701,0.5273918797214072,0.09213522588522591,0.5095238095238095,EPPVR,audit_population,subject,-0.015721120984278858,0.03832048053574832,0.06730769230769232,0.00034176349965819863,0.4890713991856589,0.02482753357753359,0.24919352244221665,4.0,0,0.908346012409752
arousal,baseline_delta,72,gpu_mlp,20260813,1.0,0.474025974025974,0.47983595352016406,0.005809979494190043,1.0,0.7044244726310994,0.11571275946275947,0.5095238095238095,EPPVR,audit_population,subject,-0.015721120984278858,0.03832048053574832,0.06730769230769232,0.0215311004784689,0.6661039920953511,0.04840506715506715,0.33939584359144076,4.0,1,0.9816587317707467
arousal,baseline_delta,72,gpu_mlp,20260829,0.25,0.474025974025974,0.44976076555023925,-0.024265208475734767,0.24568983923001922,0.19730505464104242,0.019973221223221215,0.5285714285714285,EPPVR,audit_population,subject,-0.008202323991797655,0.02710409737226659,0.00972222222222222,-0.016062884483937112,0.17020095726877582,0.010250999000998995,0.08996336312778148,4.0,0,0.24043591085489238
arousal,baseline_delta,72,gpu_mlp,20260829,0.5,0.474025974025974,0.46924128503075874,-0.0047846889952152805,0.4968301794493207,0.37154243494889283,0.07135142635142634,0.5285714285714285,EPPVR,audit_population,subject,-0.008202323991797655,0.02710409737226659,0.00972222222222222,0.003417634996582375,0.34443833757662623,0.06162920412920412,0.18206026414764526,4.0,0,0.7245478510818458
