task,representation,n_features,model,split_seed,nominal_dose,unseen_balanced_accuracy,dose_balanced_accuracy,subject_exposure_effect,achieved_dose,normalized_mutual_information,metadata_prior_opportunity,population
arousal,relative_power,24,gpu_mlp,20260911,0.75,0.5136705399863295,0.5427204374572796,0.029049897470950103,0.7394175875316934,0.50674992327808,0.07397727272727272,audit_population
arousal,relative_power,24,linear_logistic,20260911,0.75,0.5341763499658236,0.507177033492823,-0.02699931647300069,0.7394175875316934,0.50674992327808,0.07397727272727272,audit_population
arousal,all,72,gpu_mlp,20260911,1.0,0.45010252904989745,0.5560492139439508,0.10594668489405334,1.0,0.673858332101686,0.1510037878787879,audit_population
arousal,all,72,linear_logistic,20260911,1.0,0.48632946001367056,0.5133287764866712,0.026999316473000634,1.0,0.673858332101686,0.1510037878787879,audit_population
arousal,baseline_delta,72,gpu_mlp,20260911,1.0,0.5191387559808612,0.5283663704716337,0.009227614490772473,1.0,0.673858332101686,0.1510037878787879,audit_population
arousal,baseline_delta,72,linear_logistic,20260911,1.0,0.531784005468216,0.5177717019822283,-0.014012303485987698,1.0,0.673858332101686,0.1510037878787879,audit_population
arousal,normalized_asymmetry,12,gpu_mlp,20260911,1.0,0.4439507860560492,0.4688995215311005,0.024948735475051276,1.0,0.673858332101686,0.1510037878787879,audit_population
arousal,normalized_asymmetry,12,linear_logistic,20260911,1.0,0.4688995215311005,0.5013670539986329,0.03246753246753242,1.0,0.673858332101686,0.1510037878787879,audit_population
arousal,relative_power,24,gpu_mlp,20260911,1.0,0.5136705399863295,0.5498974709501026,0.03622693096377305,1.0,0.673858332101686,0.1510037878787879,audit_population
arousal,relative_power,24,linear_logistic,20260911,1.0,0.5341763499658236,0.5591250854408749,0.024948735475051276,1.0,0.673858332101686,0.1510037878787879,audit_population
arousal,all,72,gpu_mlp,20260923,0.0,0.436431989063568,0.41900205058099793,-0.017429938482570073,0.0,0.028281514383108507,0.00972222222222222,audit_population
arousal,all,72,linear_logistic,20260923,0.0,0.44360902255639095,0.47641831852358163,0.03280929596719068,0.0,0.028281514383108507,0.00972222222222222,audit_population
arousal,baseline_delta,72,gpu_mlp,20260923,0.0,0.4989747095010253,0.5020505809979494,0.0030758714969241208,0.0,0.028281514383108507,0.00972222222222222,audit_population
arousal,baseline_delta,72,linear_logistic,20260923,0.0,0.5034176349965823,0.4839371155160629,-0.01948051948051943,0.0,0.028281514383108507,0.00972222222222222,audit_population
arousal,normalized_asymmetry,12,gpu_mlp,20260923,0.0,0.3981544771018455,0.3868762816131237,-0.011278195488721776,0.0,0.028281514383108507,0.00972222222222222,audit_population
arousal,normalized_asymmetry,12,linear_logistic,20260923,0.0,0.40806561859193435,0.4107997265892003,0.002734107997265922,0.0,0.028281514383108507,0.00972222222222222,audit_population
arousal,relative_power,24,gpu_mlp,20260923,0.0,0.5034176349965823,0.5017088174982912,-0.0017088174982911042,0.0,0.028281514383108507,0.00972222222222222,audit_population
arousal,relative_power,24,linear_logistic,20260923,0.0,0.5146958304853042,0.504442925495557,-0.01025290498974718,0.0,0.028281514383108507,0.00972222222222222,audit_population
arousal,all,72,gpu_mlp,20260923,0.25,0.436431989063568,0.4535201640464798,0.01708817498291182,0.24530545888058208,0.1923875542904973,0.06550976800976802,audit_population
arousal,all,72,linear_logistic,20260923,0.25,0.44360902255639095,0.4606971975393028,0.017088174982911875,0.24530545888058208,0.1923875542904973,0.06550976800976802,audit_population
arousal,baseline_delta,72,gpu_mlp,20260923,0.25,0.4989747095010253,0.47573479152426523,-0.02323991797676006,0.24530545888058208,0.1923875542904973,0.06550976800976802,audit_population
arousal,baseline_delta,72,linear_logistic,20260923,0.25,0.5034176349965823,0.47744360902255634,-0.025974025974025983,0.24530545888058208,0.1923875542904973,0.06550976800976802,audit_population
arousal,normalized_asymmetry,12,gpu_mlp,20260923,0.25,0.3981544771018455,0.398838004101162,0.0006835269993165083,0.24530545888058208,0.1923875542904973,0.06550976800976802,audit_population
arousal,normalized_asymmetry,12,linear_logistic,20260923,0.25,0.40806561859193435,0.46479835953520166,0.0567327409432673,0.24530545888058208,0.1923875542904973,0.06550976800976802,audit_population
arousal,relative_power,24,gpu_mlp,20260923,0.25,0.5034176349965823,0.5064935064935064,0.0030758714969241208,0.24530545888058208,0.1923875542904973,0.06550976800976802,audit_population
arousal,relative_power,24,linear_logistic,20260923,0.25,0.5146958304853042,0.5331510594668489,0.018455228981544725,0.24530545888058208,0.1923875542904973,0.06550976800976802,audit_population
arousal,all,72,gpu_mlp,20260923,0.5,0.436431989063568,0.47881066302118935,0.04237867395762135,0.4968249488168865,0.36014722226636187,0.06036719816131584,audit_population
arousal,all,72,linear_logistic,20260923,0.5,0.44360902255639095,0.4979494190020506,0.05434039644565963,0.4968249488168865,0.36014722226636187,0.06036719816131584,audit_population
arousal,baseline_delta,72,gpu_mlp,20260923,0.5,0.4989747095010253,0.5365686944634313,0.03759398496240596,0.4968249488168865,0.36014722226636187,0.06036719816131584,audit_population
arousal,baseline_delta,72,linear_logistic,20260923,0.5,0.5034176349965823,0.5102529049897471,0.00683526999316475,0.4968249488168865,0.36014722226636187,0.06036719816131584,audit_population
arousal,normalized_asymmetry,12,gpu_mlp,20260923,0.5,0.3981544771018455,0.4289131920710868,0.03075871496924132,0.4968249488168865,0.36014722226636187,0.06036719816131584,audit_population
arousal,normalized_asymmetry,12,linear_logistic,20260923,0.5,0.40806561859193435,0.47607655502392343,0.06801093643198908,0.4968249488168865,0.36014722226636187,0.06036719816131584,audit_population
arousal,relative_power,24,gpu_mlp,20260923,0.5,0.5034176349965823,0.5064935064935064,0.0030758714969241208,0.4968249488168865,0.36014722226636187,0.06036719816131584,audit_population
arousal,relative_power,24,linear_logistic,20260923,0.5,0.5146958304853042,0.5399863294600137,0.025290498974709474,0.4968249488168865,0.36014722226636187,0.06036719816131584,audit_population
arousal,all,72,gpu_mlp,20260923,0.75,0.436431989063568,0.4805194805194805,0.04408749145591251,0.7162588300027207,0.5054923810586868,0.14193582561229617,audit_population
arousal,all,72,linear_logistic,20260923,0.75,0.44360902255639095,0.4849624060150376,0.04135338345864664,0.7162588300027207,0.5054923810586868,0.14193582561229617,audit_population
arousal,baseline_delta,72,gpu_mlp,20260923,0.75,0.4989747095010253,0.5280246069719754,0.029049897470950103,0.7162588300027207,0.5054923810586868,0.14193582561229617,audit_population
arousal,baseline_delta,72,linear_logistic,20260923,0.75,0.5034176349965823,0.4979494190020506,-0.005468215994531733,0.7162588300027207,0.5054923810586868,0.14193582561229617,audit_population
arousal,normalized_asymmetry,12,gpu_mlp,20260923,0.75,0.3981544771018455,0.41968557758031444,0.021531100478468956,0.7162588300027207,0.5054923810586868,0.14193582561229617,audit_population
arousal,normalized_asymmetry,12,linear_logistic,20260923,0.75,0.40806561859193435,0.4388243335611757,0.03075871496924132,0.7162588300027207,0.5054923810586868,0.14193582561229617,audit_population
